Frequency,G_off/G_on
20214000000.0,(1.0533656394261597+0.4446774576734039j)
20216000000.0,(1.0561648650583304+0.44604706714911796j)
20218000000.0,(1.059031151992614+0.4474000845317518j)
20220000000.0,(1.0619655692135255+0.448735036009368j)
20222000000.0,(1.064969183415968+0.4500503849795909j)
20224000000.0,(1.068043057168617+0.45134452994402746j)
20226000000.0,(1.0711882469303555+0.4526158023778674j)
20228000000.0,(1.074405800911631+0.4538624645793069j)
20230000000.0,(1.0776967567723494+0.45508270750407026j)
20232000000.0,(1.0810621391477262+0.45627464859099603j)
20234000000.0,(1.0845029569932922+0.4574363295853912j)
20236000000.0,(1.0880202007401056+0.45856571436765925j)
20238000000.0,(1.0916148392510716+0.4596606867955686j)
20240000000.0,(1.0952878165691904+0.46071904856944224j)
20242000000.0,(1.0990400484484895+0.4617385171305416j)
20244000000.0,(1.1028724186584131+0.46271672360396343j)
20246000000.0,(1.1067857750525023+0.46365121079847715j)
20248000000.0,(1.1107809253923309+0.46453943127693265j)
20250000000.0,(1.1148586329178822+0.4653787455120882j)
20252000000.0,(1.1190196116558644+0.4661664201440591j)
20254000000.0,(1.1232645214578365+0.4668996263569321j)
20256000000.0,(1.127593962760573+0.46757543839356647j)
20258000000.0,(1.1320084710617109+0.4681908322290828j)
20260000000.0,(1.1365085111045048+0.46874268442510997j)
20262000000.0,(1.1410944707664505+0.4692277711884576j)
20264000000.0,(1.1457666546476235+0.4696427676595344j)
20266000000.0,(1.1505252773558658+0.4699842474575072j)
20268000000.0,(1.1553704564874085+0.4702486825108904j)
20270000000.0,(1.1603022053032017+0.4704324432039645j)
20272000000.0,(1.1653204251031355+0.47053179887110796j)
20274000000.0,(1.1704248973024673+0.4705429186728061j)
20276000000.0,(1.1756152752171787+0.47046187288869984j)
20278000000.0,(1.180891075567657+0.47028463466460313j)
20280000000.0,(1.1862516697130299+0.47000708225183613j)
20282000000.0,(1.1916962746317552+0.46962500177855865j)
20284000000.0,(1.1972239436675773+0.4691340905939194j)
20286000000.0,(1.2028335570638502+0.46852996122678914j)
20288000000.0,(1.2085238123133648+0.46780814600155063j)
20290000000.0,(1.214293214355332+0.466964102353835j)
20292000000.0,(1.2201400656559185+0.4659932188891694j)
20294000000.0,(1.2260624562138718+0.4648908222272124j)
20296000000.0,(1.232058253538094+0.46365218467350006j)
20298000000.0,(1.238125092649697+0.4622725327593996j)
20300000000.0,(1.2442603661669207+0.46074705668917476j)
20302000000.0,(1.2504612145373628+0.4590709207306744j)
20304000000.0,(1.256724516488197+0.4572392745830887j)
20306000000.0,(1.26304687977134+0.4552472657514172j)
20308000000.0,(1.2694246322869038+0.45309005295272337j)
20310000000.0,(1.2758538136745157+0.4507628205738136j)
20312000000.0,(1.2823301674682799+0.4482607941937045j)
20314000000.0,(1.2888491339170325+0.44557925717697555j)
20316000000.0,(1.2954058435771467+0.44271356833594766j)
20318000000.0,(1.3019951117901964+0.4396591806504227j)
20320000000.0,(1.3086114341623067+0.43641166102357976j)
20322000000.0,(1.3152489831657415+0.4329667110414561j)
20324000000.0,(1.3219016059861228+0.4293201886913325j)
20326000000.0,(1.3285628237404428+0.4254681309813252j)
20328000000.0,(1.3352258321915929+0.42140677738958515j)
20330000000.0,(1.3418835040842811+0.41713259405688774j)
20332000000.0,(1.348528393224843+0.41264229862110674j)
20334000000.0,(1.355152740423306+0.4079328855762816j)
20336000000.0,(1.3617484814101408+0.40300165202290295j)
20338000000.0,(1.368307256832145+0.3978462236598118j)
20340000000.0,(1.374820424421839+0.39246458085200947j)
20342000000.0,(1.3812790734224643+0.3868550845929556j)
20344000000.0,(1.387674041336142+0.3810165021648499j)
